Name,Team,Season,GP,TOI,GF%,SF%,FF%,CF%,xGF%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,G±/60,S±/60,G±/60,F±/60,xG±/60,Sh%,Sv%
Ducks,ANA,18-19,82,4075.73,46.81,46.62,46.59,46.86,44.97,2.09,2.38,27.58,31.59,39.75,45.56,53.32,60.47,2.26,2.77,-0.29,-4,-5.81,-7.14,-0.51,7.59,92.47
Coyotes,ARI,18-19,82,4078.72,45.87,49.58,49.22,48.83,49.37,2.05,2.41,29.99,30.49,41.65,42.98,56.24,58.93,2.35,2.41,-0.37,-0.51,-1.32,-2.69,-0.06,6.82,92.08
Bruins,BOS,18-19,82,4125.25,56.01,53.84,53.92,53.45,53.03,2.47,1.94,32.21,27.61,44.66,38.16,58.47,50.91,2.45,2.17,0.53,4.59,6.5,7.56,0.28,7.67,92.98
Sabres,BUF,18-19,82,4142.15,44.36,48.87,49.28,49.34,47.32,2.28,2.86,31.5,32.97,42.96,44.22,55.26,56.75,2.24,2.5,-0.58,-1.46,-1.26,-1.48,-0.25,7.23,91.34
Hurricanes,CAR,18-19,82,4079.05,51.67,54.97,55.23,55.32,55.79,2.48,2.32,34.04,27.89,48.95,39.69,64.94,52.46,3.07,2.43,0.16,6.15,9.27,12.48,0.64,7.27,91.7
Blue Jackets,CBJ,18-19,82,4172.55,52.09,51.53,51.43,50.57,51.44,2.79,2.57,31.38,29.52,43.02,40.62,55.38,54.13,2.54,2.4,0.22,1.87,2.4,1.25,0.14,8.9,91.3
Flames,CGY,18-19,82,4009.82,55.12,53.44,53.34,53.99,53.23,2.88,2.35,31.91,27.8,44.75,39.15,60.7,51.73,2.67,2.34,0.54,4.11,5.6,8.97,0.32,9.03,91.56
Blackhawks,CHI,18-19,82,4131.67,49.6,48.27,48.2,49.09,45.65,2.81,2.85,31.71,33.98,41.65,44.77,56.83,58.95,2.38,2.84,-0.04,-2.27,-3.12,-2.12,-0.45,8.85,91.61
Avalanche,COL,18-19,82,3952.47,50,50.92,50.4,50.01,49.85,2.44,2.44,31.96,30.8,42.62,41.95,57.62,57.6,2.36,2.37,0,1.16,0.67,0.03,-0.01,7.65,92.07
Stars,DAL,18-19,82,4124.15,51.08,49.31,48.62,48.5,50.86,2.12,2.03,29.68,30.5,39.8,42.07,54.17,57.53,2.4,2.32,0.09,-0.82,-2.27,-3.36,0.08,7.15,93.34
Red Wings,DET,18-19,82,4150.83,45.71,45.93,46.13,46.86,45.05,2.26,2.68,28.08,33.05,38.8,45.31,51.99,58.96,2.24,2.73,-0.42,-4.98,-6.51,-6.97,-0.49,8.03,91.9
Oilers,EDM,18-19,82,4138.8,45.26,47.38,47.49,47.63,47.03,2.25,2.72,28.29,31.42,38.89,43,52.34,57.54,2.32,2.61,-0.47,-3.12,-4.11,-5.21,-0.29,7.95,91.34
Panthers,FLA,18-19,82,4108.18,46.47,50.42,49.92,49.3,47.72,2.48,2.86,31.11,30.59,42.11,42.23,54.75,56.3,2.33,2.56,-0.38,0.52,-0.13,-1.55,-0.22,7.97,90.66
Kings,L.A,18-19,82,4159.4,45.56,47.02,46.86,47.14,47.36,2.11,2.52,27.41,30.89,38.97,44.19,52.49,58.86,2.24,2.49,-0.41,-3.47,-5.22,-6.37,-0.25,7.69,91.85
Wild,MIN,18-19,82,4077.03,46.91,52.14,51.21,50.37,53.66,2.12,2.4,30.95,28.41,42.73,40.72,56.8,55.97,2.35,2.03,-0.28,2.54,2.01,0.83,0.32,6.86,91.54
Canadiens,MTL,18-19,82,4078.15,52.47,53.44,53.59,54.31,53.43,2.84,2.57,34.8,30.32,47.44,41.08,65.78,55.35,2.68,2.34,0.27,4.48,6.36,10.43,0.34,8.16,91.52
Devils,N.J,18-19,82,4034.38,43.61,47.6,46.74,46.07,48.14,2.23,2.88,29.21,32.16,39.65,45.19,50.88,59.56,2.3,2.47,-0.65,-2.95,-5.53,-8.68,-0.18,7.62,91.04
Predators,NSH,18-19,82,4015.85,53.99,52.23,52.35,52.27,50.82,2.57,2.19,32.63,29.84,44.99,40.95,59.61,54.42,2.51,2.43,0.38,2.79,4.04,5.18,0.08,7.89,92.65
Islanders,NYI,18-19,82,4154.03,55.99,49.12,48.83,48.57,51.37,2.42,1.9,28.3,29.32,38.99,40.86,52.94,56.06,2.41,2.28,0.52,-1.01,-1.87,-3.13,0.13,8.54,93.52
Rangers,NYR,18-19,82,4096.52,45.53,45.99,45.61,45.25,47.05,2.23,2.67,27.96,32.83,38.27,45.64,50.35,60.92,2.41,2.72,-0.44,-4.87,-7.37,-10.57,-0.3,7.99,91.86
Senators,OTT,18-19,82,4140.42,43.79,44.61,44.69,43.99,46.19,2.56,3.28,28.45,35.32,39.29,48.63,52.05,66.26,2.32,2.71,-0.72,-6.87,-9.34,-14.21,-0.38,8.98,90.71
Flyers,PHI,18-19,82,4074.53,46.19,47.45,48.03,47.5,48.46,2.54,2.96,29.52,32.7,40.77,44.11,54.8,60.57,2.39,2.54,-0.42,-3.17,-3.34,-5.77,-0.15,8.61,90.94
Penguins,PIT,18-19,82,4148.17,54.47,51.04,51.01,50.76,52.37,2.73,2.28,33.25,31.89,44.85,43.08,59.54,57.75,2.7,2.46,0.45,1.36,1.78,1.79,0.24,8.22,92.84
Sharks,S.J,18-19,82,4107.57,51.4,54.46,54.83,55.09,53.84,2.97,2.8,32.26,26.97,45.77,37.7,62.46,50.92,2.74,2.35,0.16,5.29,8.06,11.54,0.39,9.19,89.6
Blues,STL,18-19,82,4115.23,53.64,53.11,52.71,52.23,54.24,2.58,2.23,31.26,27.6,42.49,38.11,56.75,51.9,2.62,2.21,0.35,3.66,4.37,4.85,0.41,8.26,91.92
Lightning,T.B,18-19,82,4040.47,56.73,51.94,52.27,52.61,53.12,3.24,2.47,32.83,30.37,45.08,41.16,59.93,53.98,2.61,2.3,0.77,2.46,3.92,5.95,0.31,9.86,91.87
Maple Leafs,TOR,18-19,82,4160.55,54.91,49.5,50.4,52.1,51.72,3.13,2.57,32.33,32.98,47.3,46.55,65.11,59.86,2.82,2.63,0.56,-0.65,0.75,5.25,0.19,9.67,92.21
Canucks,VAN,18-19,82,4090.13,45.37,46.87,47.6,47.43,45.96,2.23,2.68,28.22,31.99,39.9,43.93,53.4,59.19,2.18,2.56,-0.46,-3.77,-4.03,-5.8,-0.38,7.9,91.61
Golden Knights,VGK,18-19,82,4093.53,51.96,54.25,54.72,54.89,55.36,2.62,2.42,33.7,28.42,46.35,38.36,63.24,51.96,2.83,2.28,0.2,5.28,7.99,11.27,0.55,7.76,91.49
Jets,WPG,18-19,82,4061.98,51.58,48.88,49.08,49.32,47.88,2.64,2.48,30.74,32.15,42.27,43.86,56.54,58.1,2.35,2.55,0.16,-1.41,-1.59,-1.56,-0.21,8.59,92.29
Capitals,WSH,18-19,82,4043.02,55.54,49.53,49.71,49.89,47.53,3.01,2.41,30.16,30.73,43,43.5,57.71,57.97,2.45,2.7,0.6,-0.57,-0.5,-0.26,-0.25,10,92.15
Ducks,ANA,17-18,82,4078,53.79,49.2,49.08,49.2,48.97,2.43,2.09,29.81,30.78,42.27,43.85,56.18,58,2.49,2.59,0.34,-0.97,-1.58,-1.82,-0.1,8.17,93.21
Coyotes,ARI,17-18,82,4162.87,46.5,47.25,46.44,47.64,46.41,2.16,2.48,28.39,31.7,40.33,46.51,55.8,61.33,2.21,2.55,-0.33,-3.31,-6.18,-5.54,-0.34,7.6,92.17
Bruins,BOS,17-18,82,4082.03,54.49,53.76,53.77,53.85,53.98,2.57,2.15,31.98,27.5,44.76,38.48,59.58,51.07,2.5,2.13,0.42,4.48,6.28,8.51,0.37,8.04,92.19
Sabres,BUF,17-18,82,4036.23,39.79,46.99,46.44,46.3,45.44,1.84,2.78,28.98,32.7,38.73,44.66,50.04,58.03,1.97,2.36,-0.94,-3.72,-5.93,-7.99,-0.39,6.33,91.5
Hurricanes,CAR,17-18,82,4196.48,46.49,53.15,53.32,54.49,52.64,2.34,2.7,32.61,28.74,45.91,40.19,62.62,52.3,2.61,2.35,-0.35,3.86,5.72,10.32,0.26,7.19,90.61
Blue Jackets,CBJ,17-18,82,4189.7,53.65,52.33,52.62,51.61,51.6,2.58,2.23,33.34,30.37,45.72,41.18,59.56,55.86,2.68,2.52,0.35,2.97,4.55,3.71,0.17,7.74,92.66
Flames,CGY,17-18,82,4025.05,48.11,52.32,52.96,53.08,52.05,2.34,2.52,32.98,30.06,47.86,42.51,63.71,56.31,2.66,2.45,-0.18,2.92,5.35,7.4,0.21,7.09,91.61
Blackhawks,CHI,17-18,82,4037.48,47.84,50.61,50.64,51.99,49.23,2.45,2.67,33.42,32.61,44.69,43.57,63.49,58.63,2.58,2.66,-0.22,0.81,1.12,4.87,-0.08,7.34,91.8
Avalanche,COL,17-18,82,3924.58,50.5,47.45,47.35,47.93,46.69,2.44,2.39,29.14,32.27,40.05,44.53,55.17,59.94,2.09,2.38,0.05,-3.13,-4.48,-4.77,-0.3,8.36,92.6
Stars,DAL,17-18,82,4032.67,53.21,51.33,51.26,51.1,53.61,2.38,2.1,29.79,28.25,41.27,39.23,57.07,54.61,2.45,2.12,0.29,1.55,2.04,2.46,0.33,8,92.58
Red Wings,DET,17-18,82,4102.82,46.21,48.54,49.19,48.57,48.46,2.23,2.59,29.42,31.2,41.12,42.48,53.34,56.48,2.31,2.46,-0.37,-1.77,-1.35,-3.14,-0.15,7.57,91.69
Oilers,EDM,17-18,82,4156.3,48.71,49.92,50.5,49.82,50.62,2.49,2.62,31.98,32.09,44.47,43.59,58.89,59.32,2.73,2.66,-0.13,-0.11,0.89,-0.43,0.07,7.79,91.83
Panthers,FLA,17-18,82,4078.23,49.8,49.81,50.15,49.38,48.53,2.53,2.55,32.94,33.19,44.95,44.67,57.56,59,2.41,2.56,-0.02,-0.25,0.28,-1.44,-0.15,7.69,92.31
Kings,L.A,17-18,82,4078.93,52.88,49.9,49.59,49.81,47.91,2.41,2.15,29.55,29.67,41.46,42.14,55.73,56.15,2.25,2.45,0.26,-0.12,-0.69,-0.42,-0.2,8.15,92.77
Wild,MIN,17-18,82,4069.57,52,50.01,48.53,47.77,53.02,2.45,2.26,29.78,29.77,39.63,42.03,52.42,57.31,2.28,2.02,0.19,0.01,-2.39,-4.89,0.26,8.23,92.4
Canadiens,MTL,17-18,82,4070.73,44.51,49.94,49.68,49.72,50.8,1.99,2.48,31.26,31.33,42.34,42.88,58.72,59.37,2.51,2.43,-0.49,-0.07,-0.54,-0.65,0.08,6.35,92.1
Devils,N.J,17-18,82,4064.3,48.99,49.98,49.04,48.6,50.15,2.47,2.57,30.88,30.9,42.22,43.87,54.56,57.69,2.46,2.45,-0.1,-0.02,-1.65,-3.13,0.01,7.99,91.69
Predators,NSH,17-18,82,4010.1,57.17,51.41,52.29,52.54,51.28,2.66,1.99,32.27,30.5,45.08,41.13,60.88,55,2.51,2.39,0.67,1.77,3.95,5.88,0.13,8.24,93.47
Islanders,NYI,17-18,82,4114.33,47.78,46.52,46.48,47.05,46.86,2.68,2.93,29.97,34.45,40.77,46.94,55.5,62.46,2.44,2.77,-0.25,-4.48,-6.17,-6.96,-0.33,8.96,91.48
Rangers,NYR,17-18,82,4099.4,45.47,45.44,45.47,45.14,47.24,2.28,2.74,29.49,35.41,39.93,47.89,52.2,63.45,2.55,2.85,-0.45,-5.92,-7.96,-11.24,-0.3,7.74,92.27
Senators,OTT,17-18,82,4096.63,43.62,47,46.9,46.29,46.04,2.33,3.01,29.23,32.96,40.37,45.7,54.29,62.99,2.18,2.56,-0.68,-3.73,-5.33,-8.7,-0.38,7.97,90.86
Flyers,PHI,17-18,82,4136.07,51.72,50.85,49.92,49.45,50,2.44,2.28,30.25,29.25,41.3,41.44,54.93,56.15,2.37,2.37,0.16,1.01,-0.14,-1.21,0,8.07,92.21
Penguins,PIT,17-18,82,4056.28,49.02,53,52.94,52.13,52.56,2.58,2.68,34.02,30.17,46.07,40.96,60.36,55.42,2.73,2.47,-0.1,3.85,5.11,4.94,0.27,7.59,91.1
Sharks,S.J,17-18,82,4134.65,48.27,51.74,52,51.28,51.58,2.37,2.54,31.26,29.15,44.33,40.91,60.86,57.81,2.55,2.4,-0.17,2.11,3.42,3.05,0.16,7.58,91.29
Blues,STL,17-18,82,4093.05,52.52,52.34,52.94,51.89,52.1,2.42,2.19,31.9,29.05,43.95,39.07,59.07,54.77,2.33,2.14,0.23,2.85,4.88,4.3,0.19,7.59,92.46
Lightning,T.B,17-18,82,4019.83,57.09,51.15,52.31,52.57,53.75,3.1,2.33,32.78,31.31,45.63,41.6,60.64,54.71,2.56,2.2,0.77,1.47,4.03,5.93,0.36,9.44,92.57
Maple Leafs,TOR,17-18,82,4147.93,53.87,48.9,49.18,50.58,50.76,2.78,2.38,31.18,32.58,43.87,45.32,59.74,58.38,2.67,2.59,0.4,-1.4,-1.46,1.36,0.08,8.91,92.7
Canucks,VAN,17-18,82,4078.33,45.54,47.35,47.17,47.09,46.14,2.12,2.54,28.72,31.93,39.46,44.19,52.07,58.51,2.15,2.52,-0.42,-3.21,-4.73,-6.43,-0.36,7.39,92.05
Golden Knights,VGK,17-18,82,4106.98,53.55,51.81,51.53,51.8,50.93,2.73,2.37,31.97,29.74,44.25,41.62,59.6,55.46,2.47,2.38,0.36,2.23,2.63,4.15,0.09,8.55,92.03
Jets,WPG,17-18,82,4028.73,54.81,52.19,52.45,52.44,53.18,2.76,2.28,32.11,29.41,44.68,40.52,59.89,54.32,2.54,2.23,0.48,2.7,4.17,5.57,0.3,8.59,92.26
Capitals,WSH,17-18,82,4055.08,52.58,47.9,47.7,48.35,47.4,2.63,2.37,28.08,30.54,40.38,44.28,54.88,58.61,2.36,2.62,0.26,-2.46,-3.9,-3.73,-0.26,9.37,92.23
Ducks,ANA,16-17,82,3995.45,52.04,50.7,50.23,49.87,52.33,2.3,2.12,29,28.2,41.01,40.64,54.2,54.48,2.49,2.27,0.18,0.8,0.38,-0.29,0.22,7.92,92.49
Coyotes,ARI,16-17,82,4109.98,44.13,44.91,44.44,45.04,41.89,2.03,2.57,27.42,33.64,38.67,48.35,51.45,62.79,2.02,2.8,-0.54,-6.22,-9.68,-11.34,-0.78,7.4,92.36
Bruins,BOS,16-17,82,4030.5,49.51,55.32,55.3,54.69,54.73,2.26,2.31,32.41,26.17,45.4,36.7,60.04,49.74,2.43,2.01,-0.04,6.24,8.71,10.3,0.42,6.98,91.18
Sabres,BUF,16-17,82,4129.33,44.56,47.32,47.37,47.35,47.66,1.9,2.37,29.35,32.68,39.94,44.38,52.02,57.83,2.11,2.32,-0.46,-3.33,-4.43,-5.81,-0.21,6.49,92.75
Hurricanes,CAR,16-17,82,4186.9,45.45,50.31,50.37,51.15,50.7,2.15,2.58,29.22,28.86,41.31,40.71,56.25,53.72,2.52,2.45,-0.43,0.36,0.6,2.52,0.07,7.36,91.06
Blue Jackets,CBJ,16-17,82,4136.38,57.01,51.51,50.73,50.56,51.1,2.65,2,31.22,29.39,41.95,40.75,56.06,54.83,2.54,2.43,0.65,1.83,1.2,1.23,0.11,8.5,93.19
Flames,CGY,16-17,82,3992.88,50.5,50.64,50.09,50.47,48.79,2.28,2.24,28.6,27.87,39.36,39.22,53.72,52.71,2.19,2.3,0.05,0.72,0.14,1.01,-0.11,7.99,91.97
Blackhawks,CHI,16-17,82,4163,54.35,49.59,49.87,50.34,49.52,2.52,2.12,29.95,30.44,40.21,40.41,55.79,55.04,2.39,2.44,0.4,-0.49,-0.2,0.75,-0.05,8.42,93.04
Avalanche,COL,16-17,82,4021.22,38.49,46.62,47.63,48.56,45.08,1.82,2.91,27.62,31.62,38.64,42.49,52.43,55.54,1.9,2.32,-1.09,-4,-3.85,-3.1,-0.42,6.59,90.8
Stars,DAL,16-17,82,4072.17,47.68,50.58,50.43,50.01,48.92,2.27,2.49,29.76,29.09,42.43,41.71,58.04,58.02,2.48,2.59,-0.22,0.68,0.72,0.01,-0.11,7.62,91.44
Red Wings,DET,16-17,82,4133.75,45.87,48.36,48.31,48.3,47.67,2.18,2.57,27.81,29.7,38.59,41.29,50.26,53.81,2.2,2.41,-0.39,-1.89,-2.7,-3.54,-0.21,7.83,91.35
Oilers,EDM,16-17,82,4124.55,54.11,51.24,51.16,50.17,51.51,2.49,2.11,30.08,28.63,41.12,39.26,54.94,54.57,2.59,2.44,0.38,1.45,1.86,0.38,0.15,8.27,92.63
Panthers,FLA,16-17,82,4063.42,45.05,49.24,50.16,50.5,47.71,2.08,2.54,30.43,31.38,41.68,41.42,53.94,52.86,2.18,2.39,-0.46,-0.95,0.27,1.08,-0.21,6.84,91.91
Kings,L.A,16-17,82,4080.72,49.29,54.66,54.74,54.89,53.26,2.04,2.1,30.6,25.38,44.14,36.49,59.83,49.17,2.46,2.16,-0.06,5.22,7.65,10.66,0.3,6.68,91.71
Wild,MIN,16-17,82,4151.47,54.89,50.53,49.98,49.41,55.69,2.76,2.27,30.24,29.6,41.19,41.22,54.1,55.4,2.41,1.91,0.49,0.64,-0.03,-1.3,0.49,9.13,92.33
Canadiens,MTL,16-17,82,4145.78,54.49,51.51,52.34,52.45,52.54,2.37,1.98,30.62,28.83,42.53,38.73,58.8,53.3,2.46,2.22,0.39,1.79,3.81,5.5,0.24,7.75,93.12
Devils,N.J,16-17,82,4065.75,43.57,47.21,47.62,47.45,47.35,1.8,2.33,27.39,30.62,37.72,41.5,48.67,53.89,2.14,2.38,-0.53,-3.23,-3.78,-5.22,-0.24,6.57,92.39
Predators,NSH,16-17,82,4082.63,52.38,51.29,50.81,51.18,51.67,2.42,2.2,30.94,29.38,42.68,41.31,57.54,54.89,2.32,2.17,0.22,1.56,1.37,2.65,0.15,7.84,92.5
Islanders,NYI,16-17,82,4135.13,51.1,48.9,47.92,47.67,48.41,2.7,2.58,29.8,31.14,40.45,43.96,54.89,60.26,2.49,2.66,0.12,-1.33,-3.51,-5.37,-0.16,9.06,91.71
Rangers,NYR,16-17,82,4132.43,53.15,48.86,49,48.11,49.36,2.57,2.27,28.52,29.85,40.12,41.76,52.86,57.02,2.45,2.51,0.3,-1.34,-1.64,-4.15,-0.06,9.01,92.41
Senators,OTT,16-17,82,4091.72,48.28,50.15,48.92,48.58,49.02,2.05,2.2,29.56,29.39,40.15,41.92,54.8,58,2.22,2.31,-0.15,0.18,-1.77,-3.2,-0.09,6.94,92.51
Flyers,PHI,16-17,82,4062.02,46.26,51.2,51.6,51.27,50.04,2.01,2.33,29.56,28.17,41.51,38.94,57.71,54.86,2.3,2.3,-0.32,1.39,2.57,2.85,0,6.8,91.71
Penguins,PIT,16-17,82,4098.28,55.18,51.23,51.01,49.97,52.35,2.88,2.34,32.96,31.37,43.6,41.87,57.7,57.76,2.82,2.57,0.54,1.58,1.73,-0.06,0.25,8.75,92.53
Sharks,S.J,16-17,82,4089.43,52.84,51.89,52.07,51.22,52.11,2.32,2.07,28.93,26.82,42.02,38.68,58,55.24,2.46,2.26,0.25,2.11,3.35,2.76,0.2,8.01,92.29
Blues,STL,16-17,82,4052.95,51.94,50.44,50.45,50.14,50.65,2.38,2.21,28.11,27.62,38.92,38.22,52.12,51.83,2.13,2.08,0.18,0.49,0.7,0.3,0.05,8.48,92.02
Lightning,T.B,16-17,82,4038.37,49.34,49.7,50.63,51.29,51.04,2.21,2.27,29.08,29.43,41.42,40.4,55.11,52.34,2.25,2.16,-0.06,-0.36,1.03,2.76,0.09,7.61,92.28
Maple Leafs,TOR,16-17,82,4098.17,51.16,49.45,49.87,50.52,51.22,2.59,2.47,30.83,31.52,44.68,44.92,59.79,58.56,2.77,2.64,0.12,-0.69,-0.23,1.23,0.13,8.4,92.15
Canucks,VAN,16-17,82,4124.9,44.63,46.7,46.8,47.95,45.43,1.93,2.4,27.19,31.03,37.06,42.12,50.49,54.81,2.07,2.48,-0.47,-3.84,-5.06,-4.32,-0.42,7.12,92.26
Jets,WPG,16-17,82,4002.37,49.85,48.86,49.37,49.2,51.16,2.52,2.53,28.68,30.01,39.4,40.4,52.29,53.98,2.41,2.3,-0.01,-1.33,-1,-1.69,0.11,8.78,91.56
Capitals,WSH,16-17,82,4035.78,60.53,51.83,51.29,51.73,50.78,2.74,1.78,29.73,27.64,41.3,39.22,55.89,52.14,2.35,2.28,0.95,2.1,2.08,3.75,0.07,9.2,93.54
Ducks,ANA,15-16,82,4010.23,49.45,52.67,53.12,52.42,53.12,2.03,2.08,29.56,26.57,42.36,37.37,56.3,51.09,2.38,2.1,-0.04,2.99,4.98,5.21,0.28,6.88,92.17
Coyotes,ARI,15-16,82,3886.93,48.07,46.62,46.24,46.84,46.5,2.11,2.28,26.83,30.72,38.02,44.21,51.4,58.35,2.01,2.31,-0.17,-3.89,-6.19,-6.95,-0.3,7.88,92.56
Bruins,BOS,15-16,82,4067.43,50.77,50.84,49.66,49.55,49.24,2.42,2.35,31.21,30.18,41.73,42.31,55.04,56.04,2.17,2.23,0.07,1.03,-0.58,-1,-0.07,7.75,92.23
Sabres,BUF,15-16,82,4106.38,44.84,48.11,47.39,47.51,47.67,1.84,2.26,27.78,29.95,37.77,41.93,49.97,55.2,1.97,2.16,-0.42,-2.18,-4.16,-5.23,-0.19,6.63,92.44
Hurricanes,CAR,15-16,82,4177.77,45.31,50.86,50.64,51.34,49.76,2.01,2.43,28.57,27.6,40.67,39.64,54.65,51.79,2.41,2.44,-0.42,0.96,1.03,2.86,-0.02,7.04,91.21
Blue Jackets,CBJ,15-16,82,4025.07,47.45,48.97,48.61,48.12,51.02,2.22,2.46,28.74,29.95,39.2,41.44,52.58,56.69,2.58,2.47,-0.24,-1.21,-2.24,-4.11,0.1,7.73,91.79
Flames,CGY,15-16,82,4074.6,48.2,49.69,48.65,48.22,49.15,2.37,2.55,28.24,28.6,38.73,40.88,53.26,57.19,2.26,2.34,-0.18,-0.35,-2.15,-3.93,-0.08,8.39,91.09
Blackhawks,CHI,15-16,82,4098.02,49.66,50.15,50.05,50.57,48.55,2.14,2.17,29.99,29.81,40.23,40.16,55.4,54.14,2.24,2.37,-0.03,0.18,0.07,1.26,-0.13,7.13,92.73
Avalanche,COL,15-16,82,3984.17,47.47,46.1,45.19,44.12,43.65,2.12,2.35,27.41,32.05,37.11,45,49.11,62.21,1.92,2.48,-0.23,-4.64,-7.89,-13.1,-0.56,7.75,92.67
Stars,DAL,15-16,82,4056.32,51.34,52.46,52.39,52.48,52.42,2.54,2.41,31.28,28.36,45.09,40.97,61.3,55.5,2.68,2.43,0.13,2.93,4.11,5.8,0.25,8.13,91.5
Red Wings,DET,15-16,82,4028.63,48.78,49.94,50.48,51.95,50.49,2.09,2.19,28.98,29.06,40.05,39.29,52.96,48.98,2.35,2.31,-0.1,-0.07,0.76,3.98,0.05,7.19,92.47
Oilers,EDM,15-16,82,4049.7,44.59,48.65,48.39,48.91,48.97,2.07,2.58,28.62,30.21,39.44,42.06,54.34,56.76,2.37,2.47,-0.5,-1.59,-2.62,-2.41,-0.1,7.25,91.47
Panthers,FLA,15-16,82,4007.32,56.31,49.68,49.19,48.99,49.87,2.47,1.92,28.12,28.48,38.12,39.38,48.42,50.43,2.12,2.13,0.55,-0.36,-1.26,-2.01,-0.01,8.79,93.27
Kings,L.A,15-16,82,4064.78,55.12,54.96,56.3,56.55,54.49,2.3,1.87,31.82,26.08,46.87,36.37,62.54,48.06,2.54,2.12,0.43,5.74,10.5,14.48,0.42,7.24,92.81
Wild,MIN,15-16,82,4088.97,50.54,49.31,48.39,47.6,50.01,2.07,2.02,27.26,28.03,37.86,40.38,50.23,55.29,2.07,2.07,0.04,-0.76,-2.52,-5.06,0,7.59,92.77
Canadiens,MTL,15-16,82,4050.95,49.04,51.3,51.17,51.4,50.41,2.28,2.37,30.19,28.66,41,39.12,56.48,53.39,2.29,2.25,-0.09,1.53,1.88,3.08,0.04,7.56,91.73
Devils,N.J,15-16,82,4016.63,46,46.21,46.87,46.1,47.61,1.72,2.02,23.48,27.34,32.65,37.02,42.33,49.49,1.94,2.14,-0.3,-3.85,-4.36,-7.16,-0.2,7.32,92.62
Predators,NSH,15-16,82,4040.85,49.32,52.37,53.27,52.25,52.56,2.15,2.21,29.52,26.85,41.5,36.41,55.77,50.97,2.18,1.97,-0.06,2.67,5.09,4.8,0.21,7.29,91.76
